"Gen","Treatment","Replicate","Contest","Vial","Red","Brown"
"70","MLSD","3","86","4",47,40
"70","MLSD","3","86","5",29,26
"70","MLSD","3","86","6",28,27
"70","MLSD","3","110","1",28,16
"70","MLSD","3","110","2",25,20
"70","MLSD","3","110","3",43,23
"70","MLSD","3","110","4",38,25
"70","MLSD","3","110","5",34,25
"70","MLSD","3","110","6",37,30
"70","MLSD","3","132","1",44,35
"70","MLSD","3","132","2",46,42
"70","MLSD","3","132","3",18,23
"70","MLSD","3","132","4",22,18
"70","MLSD","3","132","5",33,25
"70","MLSD","3","132","6",43,36
"70","MLSD","5","22","1",34,46
"70","MLSD","5","22","2",31,34
"70","MLSD","5","22","3",36,48
"70","MLSD","5","22","4",32,42
"70","MLSD","5","22","5",18,21
"70","MLSD","5","22","6",28,30
"70","MLSD","5","46","1",38,33
"70","MLSD","5","46","2",31,33
"70","MLSD","5","46","3",24,36
"70","MLSD","5","46","4",31,39
"70","MLSD","5","46","5",19,21
"70","MLSD","5","46","6",30,37
"70","MLSD","5","70","1",34,55
"70","MLSD","5","70","2",31,31
"70","MLSD","5","70","3",19,40
"70","MLSD","5","70","4",25,46
"70","MLSD","5","70","5",14,20
"70","MLSD","5","70","6",25,32
"70","MLSD","5","94","1",24,19
"70","MLSD","5","94","2",19,23
"70","MLSD","5","94","3",26,22
"70","MLSD","5","94","4",12,7
"70","MLSD","5","94","5",23,22
"70","MLSD","5","94","6",24,18
"70","MLSD","5","118","1",22,29
"70","MLSD","5","118","2",14,36
"70","MLSD","5","118","3",10,25
"70","MLSD","5","118","4",20,28
"70","MLSD","5","118","5",20,21
"70","MLSD","5","118","6",35,45
"70","MLSD","5","140","1",23,27
"70","MLSD","5","140","2",21,28
"70","MLSD","5","140","3",39,34
"70","MLSD","5","140","4",38,43
"70","MLSD","5","140","5",34,41
"70","MLSD","5","140","6",23,21
"70","MC","1","3","1",48,49
"70","MC","1","3","2",28,30
"70","MC","1","3","3",25,21
"70","MC","1","3","4",35,43
"70","MC","1","3","5",21,38
"70","MC","1","3","6",19,31
"70","MC","1","27","1",23,36
"70","MC","1","27","2",27,34
"70","MC","1","27","3",12,17
"70","MC","1","27","4",30,43
"70","MC","1","27","5",24,40
"70","MC","1","27","6",14,30
"70","MC","1","51","1",30,53
"70","MC","1","51","2",20,42
"70","MC","1","51","3",40,34
"70","MC","1","51","4",20,21
"70","MC","1","51","5",36,31
"70","MC","1","51","6",31,55
"70","MC","1","75","1",17,12
"70","MC","1","75","2",26,37
"70","MC","1","75","3",38,65
"70","MC","1","75","4",74,71
"70","MC","1","75","5",34,45
"70","MC","1","75","6",70,85
"70","MC","1","99","1",16,41
"70","MC","1","99","2",21,22
"70","MC","1","99","3",40,64
"70","MC","1","99","4",24,22
"70","MC","1","99","5",30,42
"70","MC","1","99","6",18,38
"70","MC","1","122","1",44,30
"70","MC","1","122","2",53,60
"70","MC","1","122","3",33,43
"70","MC","1","122","4",77,63
"70","MC","1","122","5",60,52
"70","MC","1","122","6",81,72
"70","MC","3","11","1",20,21
"70","MC","3","11","2",19,34
"70","MC","3","11","3",14,19
"70","MC","3","11","4",19,21
"70","MC","3","11","5",35,29
"70","MC","3","11","6",9,18
"70","MC","3","35","1",31,26
"70","MC","3","35","2",31,13
"70","MC","3","35","3",26,13
"70","MC","3","35","4",48,24
